site,spp_1,species,count,day,month,season,year,time,sunrise,sunset,m_60
Mount Stewart,Rabbit,Rabbit,2,13,3,spring,2014,04:06:00,06:46,18:26,-2.07
Carncastle,Hare,Hare,1,25,6,summer,2015,01:11:00,03:50,21:07,-2.65
Lisnaskea Forest,Sika,Sika,1,1,9,autumn,2015,02:53:00,05:32,19:19,-2.65
Ardmore,Badger,Badger,1,26,7,summer,2015,23:18:00,04:25,20:39,-2.63
Ballyrolly,Badger,Badger,1,25,8,summer,2013,22:14:00,05:20,19:35,-2.63
Moneymore,Hare,Hare,1,8,4,spring,2013,03:02:00,05:40,19:17,-2.63
Lurgan,Hare,Hare,1,8,8,summer,2014,22:53:00,04:49,20:14,-2.63
Lisnaskea Forest,Mouse,Mouse,1,22,9,autumn,2015,21:05:00,06:11,18:26,-2.63
Cooltrain,Mouse,Wood mouse,1,5,2,winter,2014,05:30:00,08:08,17:12,-2.63
Michael's Farm,Rabbit,Rabbit,1,25,9,autumn,2013,20:56:00,06:17,18:17,-2.63
Mount Stewart,Rabbit,Rabbit,1,13,3,spring,2014,21:05:00,06:46,18:26,-2.63
Lisnaskea Forest,Sika,Sika,1,5,9,autumn,2015,21:48:00,05:40,19:09,-2.63
Lisnaskea Forest,Sika,Sika,2,10,10,autumn,2015,20:20:00,06:45,17:41,-2.63
Moneymore,Badger,Badger,1,2,6,summer,2013,01:19:00,03:56,20:53,-2.62
Clandeboye,Fallow,Fallow Deer,1,8,7,summer,2013,23:39:00,04:01,21:01,-2.62
Maghera,Hare,Hare,1,8,5,spring,2013,22:52:00,04:33,20:14,-2.62
Knockcloghrim,Badger,Badger,1,28,5,spring,2013,01:25:00,04:01,20:47,-2.6
Cookstown,Fox,Fox,1,1,6,summer,2013,23:29:00,03:56,20:52,-2.6
Bellaghy,Hare,Hare,1,18,4,spring,2013,22:13:00,05:16,19:36,-2.6
Lisnaskea Forest,Marten,Pine Marten,1,2,10,autumn,2015,20:38:00,06:29,18:01,-2.6
Lisnaskea Forest,Marten,Pine Marten,1,19,11,autumn,2015,05:28:00,08:04,16:19,-2.6
Lisnaskea Forest,Mouse,Mouse,1,20,11,autumn,2015,18:54:00,08:06,16:17,-2.6
Cooltrain,Mouse,Wood mouse,1,3,2,winter,2014,05:36:00,08:12,17:08,-2.6
Cooltrain,Mouse,Wood mouse,1,3,2,winter,2014,19:45:00,08:12,17:08,-2.6
Michael's Farm,Rabbit,Rabbit,1,29,9,autumn,2013,20:44:00,06:25,18:07,-2.6
Lisnaskea Forest,Sika,Sika,1,11,10,autumn,2015,04:11:00,06:47,17:38,-2.6
Mount Stewart,Badger,Badger,1,5,5,spring,2013,22:44:00,04:39,20:08,-2.58
Garvagh,Hare,Hare,1,1,7,summer,2013,23:42:00,03:54,21:06,-2.58
Erik & Cecil's,Mouse,Wood mouse,1,29,11,autumn,2013,18:42:00,08:22,16:06,-2.58
Lisnaskea Forest,Sika,Sika,1,30,9,autumn,2015,20:42:00,06:26,18:06,-2.58
Mount Stewart,Badger,Badger,1,18,4,spring,2013,22:11:00,05:16,19:36,-2.57
Clandeboye,Fallow,Fallow Deer,1,28,6,summer,2013,01:18:00,03:52,21:07,-2.57
Mount Stewart,Fox,Fox,1,23,4,spring,2013,02:31:00,05:05,19:45,-2.57
Carncastle,Fox,Fox,1,28,6,summer,2015,01:17:00,03:51,21:07,-2.57
Clandeboye,Fox,Fox,1,3,7,summer,2013,23:40:00,03:55,21:05,-2.57
Lisnaskea Forest,Marten,Pine Marten,1,6,8,summer,2015,02:10:00,04:44,20:18,-2.57
Lisnaskea Forest,Sika,Sika,1,7,10,autumn,2015,20:23:00,06:39,17:48,-2.57
Cookstown,Badger,Badger,1,11,6,summer,2013,01:17:00,03:50,21:02,-2.55
Knockcloghrim,Fox,Fox,1,23,6,summer,2013,23:41:00,03:49,21:07,-2.55
Moneymore,Hare,Hare,1,6,4,spring,2013,03:12:00,05:45,19:13,-2.55
Cookstown,Hare,Hare,1,30,7,summer,2014,02:00:00,04:33,20:31,-2.55
Sandholes,Hare,Hare,1,30,7,summer,2014,02:00:00,04:33,20:31,-2.55
Mount Stewart,Mouse,Wood mouse,1,11,3,spring,2014,04:18:00,06:51,18:22,-2.55
Mount Stewart,Mouse,Wood mouse,1,15,3,spring,2014,21:04:00,06:41,18:30,-2.55
Magherafelt,Rabbit,Rabbit,1,2,7,summer,2015,01:21:00,03:54,21:06,-2.55
Lisnaskea Forest,Sika,Sika,2,20,11,autumn,2015,18:51:00,08:06,16:17,-2.55
Lisnaskea Forest,Badger,Badger,1,20,9,autumn,2015,03:35:00,06:07,18:31,-2.53
Ballyrolly,Fox,Fox,1,27,8,summer,2013,02:52:00,05:24,19:30,-2.53
Desertmartin,Hare,Hare,1,22,4,spring,2013,22:16:00,05:07,19:43,-2.53
Cooltrain,Mouse,Wood mouse,1,2,2,winter,2014,05:42:00,08:14,17:06,-2.53
Michael's Farm,Badger,Badger,1,28,9,autumn,2013,20:41:00,06:23,18:09,-2.52
Lisnaskea Forest,Fox,Fox,1,7,9,autumn,2015,03:12:00,05:43,19:04,-2.52
Mount Stewart,Fox,Fox,1,29,4,spring,2013,02:20:00,04:51,19:57,-2.52
Mount Stewart,Muntjac,Muntjac Deer,1,30,4,spring,2013,22:31:00,04:49,19:59,-2.52
Lisnaskea Forest,Sika,Sika,1,30,9,autumn,2015,03:55:00,06:26,18:06,-2.52
Lisnaskea Forest,Sika,Sika,1,30,9,autumn,2015,20:38:00,06:26,18:06,-2.52
Saintfield,Badger,Badger,1,13,4,spring,2015,21:56:00,05:29,19:25,-2.05
Dunnamore,Badger,Badger,1,22,4,spring,2013,22:14:00,05:07,19:43,-2.05
Mount Stewart,Badger,Badger,1,23,4,spring,2013,22:16:00,05:05,19:45,-2.05
Magherafelt,Fox,Fox,1,3,7,summer,2015,01:25:00,03:55,21:05,-2.05
Clandeboye,Fox,Fox,1,25,7,summer,2013,23:11:00,04:25,20:40,-2.05
Garvagh,Hare,Hare,1,25,5,spring,2013,01:34:00,04:04,20:43,-2.05
Newferry,Hare,Hare,1,5,5,spring,2013,02:09:00,04:39,20:08,-2.05
Moneymore,Hare,Hare,1,5,5,spring,2013,22:39:00,04:39,20:08,-2.05
Garvagh,Hare,Hare,1,2,7,summer,2013,23:36:00,03:55,21:05,-2.05
Magho,Marten,Pine Marten,1,21,2,winter,2014,20:17:00,07:35,17:46,-2.05
Curragh,Mouse,Wood mouse,1,22,2,winter,2014,05:02:00,07:32,17:48,-2.05
Lisnaskea Forest,Sika,Sika,3,20,9,autumn,2015,03:37:00,06:07,18:31,-2.05
Lisnaskea Forest,Sika,Sika,1,5,9,autumn,2015,21:40:00,05:40,19:09,-2.05
Magherafelt,Badger,Badger,1,17,4,spring,2013,22:04:00,05:19,19:34,-2.48
Dunnamore,Badger,Badger,1,10,5,spring,2013,02:00:00,04:29,20:17,-2.48
Lisnaskea Forest,Fox,Fox,1,7,9,autumn,2015,03:14:00,05:43,19:04,-2.48
Bellaghy,Hare,Hare,1,15,7,summer,2013,23:24:00,04:09,20:54,-2.48
Magho,Marten,Pine Marten,1,20,2,winter,2014,20:14:00,07:37,17:44,-2.48
Lisnaskea Forest,Mouse,Mouse,1,3,9,autumn,2015,21:44:00,05:36,19:14,-2.48
Michael's Farm,Rabbit,Rabbit,1,27,9,autumn,2013,20:42:00,06:21,18:12,-2.48
Sandholes,Rabbit,Rabbit,1,31,7,summer,2014,22:58:00,04:34,20:29,-2.47
Moneymore,Badger,Badger,1,2,6,summer,2013,01:29:00,03:56,20:53,-2.45
Lisnaskea Forest,Fox,Fox,1,7,9,autumn,2015,03:16:00,05:43,19:04,-2.45
Michael's Farm,Fox,Fox,1,22,9,autumn,2013,20:53:00,06:12,18:25,-2.45
Lisnaskea Forest,Fox,Fox,1,6,10,autumn,2015,20:19:00,06:37,17:51,-2.45
Mount Stewart,Fox,Fox,1,5,3,spring,2014,20:38:00,07:06,18:10,-2.45
Cookstown,Hare,Hare,1,5,11,autumn,2013,19:10:00,07:37,16:42,-2.45
Mount Stewart,Mouse,Wood mouse,1,23,4,spring,2013,02:38:00,05:05,19:45,-2.45
Mount Stewart,Badger,Badger,1,2,3,spring,2014,20:31:00,07:13,18:04,-2.43
Newferry,Badger,Badger,1,19,4,spring,2013,02:48:00,05:14,19:38,-2.43
Maghera,Badger,Badger,1,26,4,spring,2013,22:18:00,04:58,19:51,-2.43
Mount Stewart,Badger,Badger,1,12,5,spring,2013,22:48:00,04:25,20:21,-2.43
Desertmartin,Badger,Badger,1,22,6,summer,2013,01:23:00,03:49,21:07,-2.43
Mount Stewart,Fox,Fox,1,8,3,spring,2014,04:33:00,06:59,18:16,-2.43
Magherafelt,Fox,Fox,1,30,6,summer,2015,01:27:00,03:53,21:06,-2.43
Sandholes,Fox,Fox,1,30,7,summer,2014,02:07:00,04:33,20:31,-2.43
Dunnamore,Fox,Fox,1,13,7,summer,2013,23:23:00,04:07,20:56,-2.43
Bowtown Road,Fox,Fox,1,12,2,winter,2014,19:54:00,07:54,17:27,-2.43
Moneymore,Hare,Hare,1,23,6,summer,2013,01:23:00,03:49,21:07,-2.43
Lisnaskea Forest,Mouse,Mouse,1,8,9,autumn,2001,21:28:00,05:45,19:01,-2.43
Erik & Cecil's,Mouse,Wood mouse,1,23,11,autumn,2013,18:40:00,08:12,16:13,-2.43
Curragh,Mouse,Wood mouse,1,1,3,spring,2014,04:50:00,07:16,18:02,-2.43
Cooltrain,Mouse,Wood mouse,1,3,2,winter,2014,05:46:00,08:12,17:08,-2.43
Newferry,Badger,Badger,1,20,4,spring,2013,22:06:00,05:12,19:40,-2.42
Lisnaskea Forest,Fox,Fox,1,5,10,autumn,2015,04:10:00,06:35,17:53,-2.42
Cookstown,Hare,Hare,1,9,4,spring,2013,03:13:00,05:38,19:18,-2.42
Garvagh,Hare,Hare,1,1,7,summer,2013,23:32:00,03:54,21:06,-2.42
Cooltrain,Mouse,Wood mouse,1,3,2,winter,2014,19:34:00,08:12,17:08,-2.42
Clandeboye,Rabbit,Rabbit,1,15,7,summer,2013,01:44:00,04:09,20:54,-2.42
Knockcloghrim,Fox,Fox,1,28,4,spring,2013,02:29:00,04:53,19:55,-2.4
Curragh,Mouse,Wood mouse,2,3,3,spring,2014,04:47:00,07:11,18:06,-2.4
Mount Stewart,Rabbit,Rabbit,1,6,5,spring,2013,22:35:00,04:37,20:10,-2.4
Lisnaskea Forest,Sika,Sika,1,9,10,autumn,2015,04:19:00,06:43,17:43,-2.4
Knockninny,Badger,Badger,1,11,3,spring,2014,20:46:00,06:51,18:22,-2.38
Newferry,Fox,Fox,1,30,6,summer,2013,23:30:00,03:53,21:06,-2.38
Ballyboley,Fox,Fox,1,19,1,winter,2014,06:13:00,08:36,16:38,-2.38
Magherafelt,Hare,Hare,1,6,5,spring,2013,22:34:00,04:37,20:10,-2.38
Beltonean Lane,Hare,Hare,1,7,8,summer,2014,22:40:00,04:47,20:16,-2.38
Lisnaskea Forest,Marten,Pine Marten,1,3,10,autumn,2015,20:22:00,06:31,17:58,-2.38
Lisnaskea Forest,Marten,Pine Marten,1,19,11,autumn,2015,05:41:00,08:04,16:19,-2.38
Lurgan,Rabbit,Rabbit,1,24,8,summer,2014,02:55:00,05:18,19:38,-2.38
Lisnaskea Forest,Sika,Sika,1,28,9,autumn,2015,20:35:00,06:22,18:11,-2.38
Erik & Cecil's,Fallow,Fallow Deer,2,5,11,autumn,2013,19:05:00,07:37,16:42,-2.37
Magherafelt,Fox,Fox,1,23,7,summer,2014,01:59:00,04:21,20:43,-2.37
Lisnaskea Forest,Marten,Pine Marten,1,6,8,summer,2015,02:22:00,04:44,20:18,-2.37
Cookstown,Rabbit,Rabbit,1,6,8,summer,2014,02:23:00,04:45,20:18,-2.37
Mount Stewart,Badger,Badger,2,21,4,spring,2013,22:04:00,05:09,19:42,-2.35
Lisnaskea Forest,Fox,Fox,1,5,10,autumn,2015,04:14:00,06:35,17:53,-2.35
Mount Stewart,Rabbit,Rabbit,2,18,5,spring,2013,01:54:00,04:15,20:31,-2.35
Clandeboye,Rabbit,Rabbit,1,27,6,summer,2013,01:30:00,03:51,21:07,-2.35
Magherafelt,Rabbit,Rabbit,1,29,6,summer,2015,23:29:00,03:52,21:07,-2.35
Lisnaskea Forest,Sika,Sika,1,2,9,autumn,2015,21:38:00,05:34,19:16,-2.35
Lisnaskea Forest,Sika,Sika,2,22,11,autumn,2015,18:36:00,08:09,16:14,-2.35
Ballyrolly,Badger,Badger,1,29,8,summer,2013,21:46:00,05:28,19:25,-2.03
Loughries,Badger,Badger,1,21,1,winter,2014,19:03:00,08:33,16:42,-2.03
Curragh,Mouse,Wood mouse,1,20,2,winter,2014,20:05:00,07:37,17:44,-2.03
Mount Stewart,Badger,Badger,1,12,6,summer,2013,01:30:00,03:49,21:03,-2.32
Moneymore,Fox,Fox,1,20,4,spring,2013,02:53:00,05:12,19:40,-2.32
Dunnamore,Fox,Fox,1,24,5,spring,2013,23:01:00,04:06,20:41,-2.32
Knockcloghrim,Hare,Hare,1,7,5,spring,2013,02:16:00,04:35,20:12,-2.32
Magherafelt,Hare,Hare,1,5,5,spring,2013,22:28:00,04:39,20:08,-2.32
Lisnaskea Forest,Mouse,Mouse,1,29,9,autumn,2015,20:28:00,06:24,18:08,-2.32
Curragh,Mouse,Wood mouse,1,3,3,spring,2014,04:52:00,07:11,18:06,-2.32
Mount Stewart,Badger,Badger,1,28,4,spring,2013,22:14:00,04:53,19:55,-2.3
Bellaghy,Fox,Fox,1,30,5,spring,2013,23:09:00,03:59,20:50,-2.3
Killycolpy,Hare,Hare,1,30,6,summer,2013,23:25:00,03:53,21:06,-2.3
Dunnamore,Hare,Hare,1,28,6,summer,2013,23:26:00,03:52,21:07,-2.3
Lisnaskea Forest,Marten,Pine Marten,1,6,8,summer,2015,02:26:00,04:44,20:18,-2.3
Mount Stewart,Muntjac,Muntjac Deer,1,4,3,spring,2014,20:27:00,07:09,18:08,-2.3
Bowtown Road,Badger,Badger,1,5,2,winter,2014,05:51:00,08:08,17:12,-2.28
Carrowdore,Fox,Fox,1,6,2,winter,2014,19:33:00,08:07,17:15,-2.28
Erik & Cecil's,Fox,Fox,1,29,11,autumn,2013,18:24:00,08:22,16:06,-2.28
Bellaghy,Hare,Hare,1,6,4,spring,2013,03:28:00,05:45,19:13,-2.28
Lisnaskea Forest,Marten,Pine Marten,1,19,11,autumn,2015,05:47:00,08:04,16:19,-2.28
Lisnaskea Forest,Marten,Pine Marten,1,19,11,autumn,2015,05:47:00,08:04,16:19,-2.28
Clandeboye,Rabbit,Rabbit,1,25,6,summer,2013,01:33:00,03:50,21:07,-2.28
Saintfield,Badger,Badger,1,11,4,spring,2015,03:18:00,05:34,19:21,-2.27
Michael's Farm,Fox,Fox,1,1,10,autumn,2013,20:19:00,06:28,18:02,-2.27
Desertmartin,Fox,Fox,1,4,5,spring,2013,22:23:00,04:41,20:06,-2.27
Middletown,Hare,Hare,1,14,3,spring,2015,04:28:58,06:45,18:27,-2.27
Magherafelt,Hare,Hare,1,5,5,spring,2013,22:25:00,04:39,20:08,-2.27
Lisnaskea Forest,Marten,Pine Marten,1,6,8,summer,2015,02:28:00,04:44,20:18,-2.27
Michael's Farm,Rabbit,Rabbit,1,1,10,autumn,2013,20:19:00,06:28,18:02,-2.27
Lisnaskea Forest,Sika,Sika,2,12,11,autumn,2015,18:47:00,07:50,16:30,-2.27
Erik & Cecil's,Fallow,Fallow Deer,1,4,11,autumn,2013,18:59:00,07:35,16:43,-2.25
Clandeboye,Fallow,Fallow Deer,1,5,7,summer,2013,23:19:00,03:57,21:04,-2.25
Gortavoy Bridge,Fox,Fox,1,22,6,summer,2013,01:34:00,03:49,21:07,-2.25
Newferry,Hare,Hare,1,26,4,spring,2013,02:43:00,04:58,19:51,-2.25
Knockninny,Marten,Pine Marten,1,12,3,spring,2014,20:40:00,06:49,18:24,-2.25
Mount Stewart,Badger,Badger,1,27,5,spring,2013,23:00:00,04:02,20:45,-2.23
Magherafelt,Badger,Badger,1,13,7,summer,2013,01:53:00,04:07,20:56,-2.23
Cookstown,Badger,Badger,1,30,7,summer,2014,02:19:00,04:33,20:31,-2.23
Sandholes,Badger,Badger,1,30,7,summer,2014,02:19:00,04:33,20:31,-2.23
Moneymore,Fox,Fox,1,2,6,summer,2013,23:08:00,03:56,20:53,-2.23
Newferry,Hare,Hare,1,2,5,spring,2013,22:18:00,04:45,20:03,-2.23
Ardmore,Hare,Hare,1,22,7,summer,2015,23:00:00,04:19,20:45,-2.23
Magherafelt,Rabbit,Rabbit,1,23,7,summer,2014,22:58:00,04:21,20:43,-2.23
Ballyrolly,Badger,Badger,1,1,9,autumn,2013,21:32:00,05:33,19:18,-2.22
Mount Stewart,Badger,Badger,1,10,3,spring,2014,04:41:00,06:54,18:20,-2.22
Mount Stewart,Badger,Badger,2,16,5,spring,2013,22:42:00,04:18,20:28,-2.22
Moneymore,Fox,Fox,1,4,5,spring,2013,22:20:00,04:41,20:06,-2.22
Saintfield,Hare,Hare,1,13,4,spring,2015,03:16:00,05:29,19:25,-2.22
Dunnamore,Hare,Hare,1,10,6,summer,2013,23:16:00,03:50,21:02,-2.22
Lisnaskea Forest,Marten,Pine Marten,1,5,9,autumn,2015,21:23:00,05:40,19:09,-2.22
Curragh,Marten,Pine Marten,1,13,2,winter,2014,05:39:00,07:52,17:29,-2.22
Cooltrain,Mouse,Wood mouse,1,2,2,winter,2014,06:01:00,08:14,17:06,-2.22
Erik & Cecil's,Rabbit,Rabbit,1,22,11,autumn,2013,18:28:00,08:10,16:14,-2.22
Mount Stewart,Rabbit,Rabbit,1,19,4,spring,2013,21:52:00,05:14,19:38,-2.22
Maghera,Fox,Fox,1,5,5,spring,2013,22:21:00,04:39,20:08,-2.2
Bellaghy,Fox,Fox,1,22,6,summer,2013,23:20:00,03:49,21:07,-2.2
Killcooley Wood,Fox,Fox,1,9,1,winter,2014,06:33:00,08:45,16:21,-2.2
Cookstown,Hare,Hare,1,29,7,summer,2014,22:46:00,04:31,20:33,-2.2
Sandholes,Hare,Hare,1,29,7,summer,2014,22:46:00,04:31,20:33,-2.2
Killycolpy,Hare,Hare,1,15,7,summer,2013,23:07:00,04:09,20:54,-2.2
Curragh,Mouse,Wood mouse,1,21,2,winter,2014,05:23:00,07:35,17:46,-2.2
Mount Stewart,Rabbit,Rabbit,2,18,5,spring,2013,22:44:00,04:15,20:31,-2.2
Cookstown,Rabbit,Rabbit,1,5,8,summer,2014,22:33:00,04:43,20:20,-2.2
Clandeboye,Fallow,Fallow Deer,2,4,7,summer,2013,23:16:00,03:56,21:04,-2.18
Ardmore,Hare,Hare,1,22,7,summer,2015,22:57:00,04:19,20:45,-2.18
Mount Stewart,Mouse,Wood mouse,1,3,3,spring,2014,20:18:00,07:11,18:06,-2.18
Magherafelt,Mouse,Wood mouse,1,21,7,summer,2014,02:07:00,04:18,20:46,-2.18
Mount Stewart,Rabbit,Rabbit,1,21,5,spring,2013,22:48:00,04:10,20:36,-2.18
Michael's Farm,Badger,Badger,1,24,9,autumn,2013,20:31:00,06:15,18:20,-2.02
Mount Stewart,Badger,Badger,1,3,6,summer,2013,01:45:00,03:55,20:55,-2.02
Lisnaskea Forest,Marten,Pine Marten,1,21,11,autumn,2015,18:27:00,08:07,16:16,-2.02
Michael's Farm,Mouse,Wood mouse,1,5,10,autumn,2013,04:26:00,06:36,17:52,-2.02
Cooltrain,Mouse,Wood mouse,1,5,2,winter,2014,05:58:00,08:08,17:12,-2.02
Clandeboye,Rabbit,Rabbit,1,28,6,summer,2013,01:42:00,03:52,21:07,-2.02
Clandeboye,Rabbit,Rabbit,1,5,7,summer,2013,01:47:00,03:57,21:04,-2.02
Magherafelt,Badger,Badger,1,19,4,spring,2013,21:48:00,05:14,19:38,-2.15
Mount Stewart,Badger,Badger,1,12,5,spring,2013,22:31:00,04:25,20:21,-2.15
Lisnaskea Forest,Marten,Pine Marten,1,14,9,autumn,2015,20:56:00,05:56,18:46,-2.15
Lisnaskea Forest,Marten,Pine Marten,1,19,11,autumn,2015,05:55:00,08:04,16:19,-2.15
Cooltrain,Mouse,Wood mouse,1,2,2,winter,2014,06:05:00,08:14,17:06,-2.15
Mount Stewart,Rabbit,Rabbit,1,16,5,spring,2013,22:38:00,04:18,20:28,-2.15
Lisnaskea Forest,Sika,Sika,1,12,11,autumn,2015,18:40:00,07:50,16:30,-2.15
Lisnaskea Forest,Sika,Sika,1,12,11,autumn,2015,18:40:00,07:50,16:30,-2.15
Mount Stewart,Badger,Badger,1,22,4,spring,2013,21:52:00,05:07,19:43,-2.13
Bowtown Road,Badger,Badger,1,7,2,winter,2014,05:57:00,08:05,17:17,-2.13
Clandeboye,Fallow,Fallow Deer,1,24,6,summer,2013,23:16:00,03:50,21:07,-2.13
Clandeboye,Fallow,Fallow Deer,1,3,7,summer,2013,23:14:00,03:55,21:05,-2.13
Cookstown,Fox,Fox,1,7,8,summer,2014,02:39:00,04:47,20:16,-2.13
Cookstown,Rabbit,Rabbit,1,11,8,summer,2014,22:16:00,04:54,20:07,-2.13
Mount Stewart,Badger,Badger,1,3,5,spring,2013,22:12:00,04:43,20:04,-2.12
Lisnaskea Forest,Fox,Fox,1,30,9,autumn,2015,04:19:00,06:26,18:06,-2.12
Moneymore,Hare,Hare,1,23,6,summer,2013,01:42:00,03:49,21:07,-2.12
Carncastle,Hare,Hare,1,24,6,summer,2015,23:15:00,03:50,21:07,-2.12
Cooltrain,Mouse,Wood mouse,1,3,2,winter,2014,06:05:00,08:12,17:08,-2.12
Lisnaskea Forest,Sika,Sika,1,3,9,autumn,2015,21:22:00,05:36,19:14,-2.12
Mount Stewart,Badger,Badger,1,4,5,spring,2013,22:13:00,04:41,20:06,-2.1
Gortreagh,Badger,Badger,1,23,6,summer,2013,01:43:00,03:49,21:07,-2.1
Bowtown Road,Badger,Badger,1,8,2,winter,2014,05:57:00,08:03,17:19,-2.1
Clandeboye,Fallow,Fallow Deer,1,26,6,summer,2013,23:14:00,03:51,21:07,-2.1
Moneymore,Hare,Hare,1,9,4,spring,2013,03:32:00,05:38,19:18,-2.1
Garvagh,Hare,Hare,1,27,6,summer,2013,23:14:00,03:51,21:07,-2.1
Lisnaskea Forest,Marten,Pine Marten,1,6,8,summer,2015,02:38:00,04:44,20:18,-2.1
Cookstown,Rabbit,Rabbit,1,5,8,summer,2014,22:27:00,04:43,20:20,-2.1
Lisnaskea Forest,Sika,Sika,1,22,11,autumn,2015,18:21:00,08:09,16:14,-2.1
Ballyrolly,Badger,Badger,1,6,9,autumn,2013,21:11:00,05:42,19:05,-2.08
Garvagh,Badger,Badger,1,4,5,spring,2013,02:36:00,04:41,20:06,-2.08
Clandeboye,Fallow,Fallow Deer,3,9,7,summer,2013,23:06:00,04:02,21:00,-2.08
Saintfield,Fox,Fox,1,12,4,spring,2015,21:29:00,05:32,19:23,-2.08
Bellaghy,Fox,Fox,1,7,6,summer,2013,01:47:00,03:52,20:59,-2.08
Gortavoy Bridge,Fox,Fox,1,12,7,summer,2013,02:00:00,04:05,20:57,-2.08
Cookstown,Fox,Fox,1,8,8,summer,2014,02:44:00,04:49,20:14,-2.08
Knockcloghrim,Hare,Hare,1,19,9,autumn,2013,20:38:00,06:06,18:32,-2.08
Garvagh,Hare,Hare,1,21,4,spring,2013,03:04:00,05:09,19:42,-2.08
Newferry,Hare,Hare,1,4,5,spring,2013,22:12:00,04:41,20:06,-2.08
Lissan,Hare,Hare,1,12,7,summer,2013,23:03:00,04:05,20:57,-2.08
Lisnaskea Forest,Sika,Sika,1,19,9,autumn,2015,04:00:00,06:05,18:34,-2.08
Cookstown,Hare,Hare,1,29,7,summer,2014,22:38:00,04:31,20:33,-2.07
Sandholes,Hare,Hare,1,29,7,summer,2014,22:38:00,04:31,20:33,-2.07
Clandeboye,Rabbit,Rabbit,1,2,7,summer,2013,01:51:00,03:55,21:05,-2.07
Mount Stewart,Badger,Badger,1,23,5,spring,2013,22:44:00,04:07,20:40,-2.05
Clandeboye,Fallow,Fallow Deer,2,24,6,summer,2013,23:11:00,03:50,21:07,-2.05
Carrowdore,Fox,Fox,1,29,1,winter,2014,06:18:00,08:21,16:58,-2.05
Bowtown Road,Fox,Fox,1,5,2,winter,2014,06:05:00,08:08,17:12,-2.05
Cookstown,Hare,Hare,1,30,5,spring,2013,22:54:00,03:59,20:50,-2.05
Curragh,Mouse,Wood mouse,1,28,2,winter,2014,05:15:00,07:18,18:00,-2.05
Cooltrain,Mouse,Wood mouse,1,3,2,winter,2014,19:12:00,08:12,17:08,-2.05
Curragh,Mouse,Wood mouse,1,13,2,winter,2014,19:33:00,07:52,17:29,-2.05
Moneymore,Rabbit,Rabbit,1,13,7,summer,2014,23:01:00,04:06,20:57,-2.05
Clandeboye,Badger,Badger,1,26,7,summer,2013,22:41:00,04:26,20:38,-2.03
Lisnaskea Forest,Fox,Fox,1,29,9,autumn,2015,20:11:00,06:24,18:08,-2.03
Killycolpy,Hare,Hare,1,27,6,summer,2013,23:10:00,03:51,21:07,-2.03
Michael's Farm,Mouse,Wood mouse,1,4,10,autumn,2013,04:32:00,06:34,17:54,-2.03
Bowtown Road,Rabbit,Rabbit,1,29,1,winter,2014,19:01:00,08:21,16:58,-2.03
Bowtown Road,Rabbit,Rabbit,1,2,2,winter,2014,19:09:00,08:14,17:06,-2.03
Lisnaskea Forest,Sika,Sika,5,20,11,autumn,2015,18:20:00,08:06,16:17,-2.03
Lisnaskea Forest,Badger,Badger,1,9,8,summer,2015,22:14:00,04:50,20:12,-2.02
Saintfield,Fox,Fox,1,14,4,spring,2015,21:29:00,05:27,19:27,-2.02
Lisnaskea Forest,Marten,Pine Marten,1,14,9,autumn,2015,20:48:00,05:56,18:46,-2.02
Lisnaskea Forest,Marten,Pine Marten,1,3,10,autumn,2015,20:00:00,06:31,17:58,-2.02
Saintfield,Mouse,Wood mouse,1,12,4,spring,2015,21:25:00,05:32,19:23,-2.02
Cooltrain,Mouse,Wood mouse,1,5,2,winter,2014,06:07:00,08:08,17:12,-2.02
Cooltrain,Mouse,Wood mouse,1,2,2,winter,2014,06:13:00,08:14,17:06,-2.02
Carncastle,Rabbit,Rabbit,1,23,6,summer,2015,23:09:00,03:49,21:07,-2.02
Magherafelt,Rabbit,Rabbit,1,26,7,summer,2014,22:40:00,04:26,20:38,-2.02
Lisnaskea Forest,Sika,Sika,1,12,11,autumn,2015,18:32:00,07:50,16:30,-2.02
Magherafelt,Badger,Badger,1,18,4,spring,2013,03:16:00,05:16,19:36,-2
Mount Stewart,Badger,Badger,2,18,4,spring,2013,21:37:00,05:16,19:36,-2
Bellaghy,Badger,Badger,1,13,5,spring,2013,22:24:00,04:23,20:23,-2
Clandeboye,Fallow,Fallow Deer,1,26,6,summer,2013,23:08:00,03:51,21:07,-2
Clandeboye,Fallow,Fallow Deer,1,20,7,summer,2013,22:48:00,04:17,20:47,-2
Lisnaskea Forest,Fox,Fox,1,4,9,autumn,2015,21:12:00,05:38,19:11,-2
Bellaghy,Fox,Fox,1,22,6,summer,2013,23:08:00,03:49,21:07,-2
Moneymore,Fox,Fox,1,11,7,summer,2014,02:04:00,04:04,20:59,-2
Michael's Farm,Mouse,Wood mouse,1,4,10,autumn,2013,19:55:00,06:34,17:54,-2
Lisnaskea Forest,Sika,Sika,1,23,11,autumn,2015,06:11:00,08:11,16:13,-2
Lisnaskea Forest,Sika,Sika,2,22,11,autumn,2015,18:15:00,08:09,16:14,-2
Maghera,Fox,Fox,1,1,7,summer,2013,23:06:00,03:54,21:06,-1.98
Killcooley Wood,Fox,Fox,1,3,1,winter,2014,06:50:00,08:49,16:13,-1.98
