site,spp_1,species,count,day,month,season,year,time,sunrise,sunset,m_60
Lisnaskea Forest,Sika,Sika,1,22,11,autumn,2015,01:30:00,08:09,16:14,-6.65
Erik & Cecil's,Mouse,Wood mouse,1,30,11,autumn,2013,22:44:00,08:24,16:05,-6.63
Cooltrain,Mouse,Wood mouse,1,2,2,winter,2014,01:36:00,08:14,17:06,-6.63
Cooltrain,Mouse,Wood mouse,1,1,2,winter,2014,23:42:00,08:16,17:04,-6.62
Middletown,Rabbit,Rabbit,1,15,3,spring,2015,00:05:00,06:42,18:29,-6.62
Middletown,Rabbit,Rabbit,1,13,3,spring,2015,00:10:00,06:47,18:25,-6.62
Mount Stewart,Rabbit,Rabbit,1,10,3,spring,2014,00:17:00,06:54,18:20,-6.62
Cypress Wood,Fox,Fox,1,30,1,winter,2013,23:38:00,08:19,17:01,-6.6
Lisnaskea Forest,Sika,Sika,2,22,11,autumn,2015,01:33:00,08:09,16:14,-6.6
Bowtown Road,Badger,Badger,1,19,1,winter,2014,02:01:00,08:36,16:38,-6.58
Erik & Cecil's,Fallow,Fallow Deer,1,14,11,autumn,2013,23:01:00,07:55,16:25,-6.58
Curragh,Mouse,Wood mouse,1,28,2,winter,2014,00:43:00,07:18,18:00,-6.58
Lisnaskea Forest,Fox,Fox,1,8,10,autumn,2015,00:07:00,06:41,17:46,-6.57
Lisnaskea Forest,Sika,Sika,1,22,11,autumn,2015,01:36:00,08:09,16:14,-6.55
Mount Stewart,Badger,Badger,1,7,3,spring,2014,00:29:00,07:01,18:14,-6.53
Erik & Cecil's,Fox,Fox,1,18,11,autumn,2013,22:52:00,08:03,16:19,-6.53
Bowtown Road,Fox,Fox,1,25,1,winter,2014,23:21:00,08:27,16:50,-6.05
Lisnaskea Forest,Marten,Pine Marten,1,20,11,autumn,2015,01:36:00,08:06,16:17,-6.05
Middletown,Rabbit,Rabbit,1,14,3,spring,2015,00:15:00,06:45,18:27,-6.05
Belmore,Marten,Pine Marten,1,4,2,winter,2014,23:40:00,08:10,17:10,-6.48
Bowtown Road,Badger,Badger,1,27,1,winter,2014,01:56:00,08:24,16:54,-6.47
Lisnaskea Forest,Fox,Fox,1,1,10,autumn,2015,00:00:00,06:28,18:03,-6.47
Curragh,Mouse,Wood mouse,1,28,2,winter,2014,00:50:00,07:18,18:00,-6.47
Erik & Cecil's,Fox,Fox,1,18,11,autumn,2013,22:47:00,08:03,16:19,-6.45
Magho,Marten,Pine Marten,1,17,2,winter,2014,01:17:00,07:44,17:37,-6.45
Bowtown Road,Badger,Badger,1,30,1,winter,2014,23:27:00,08:19,17:00,-6.43
Lisnaskea Forest,Marten,Pine Marten,1,20,11,autumn,2015,01:40:00,08:06,16:17,-6.43
Lisnaskea Forest,Sika,Sika,1,10,10,autumn,2015,00:19:00,06:45,17:41,-6.43
Curragh,Mouse,Wood mouse,1,21,2,winter,2014,01:10:00,07:35,17:46,-6.42
Cooltrain,Mouse,Wood mouse,1,3,2,winter,2014,23:31:00,08:12,17:08,-6.37
Mount Stewart,Badger,Badger,1,10,3,spring,2014,00:34:00,06:54,18:20,-6.03
Middletown,Hare,Hare,1,17,3,spring,2015,00:17:05,06:37,18:33,-6.03
Erik & Cecil's,Mouse,Wood mouse,1,30,11,autumn,2013,22:25:00,08:24,16:05,-6.32
Cooltrain,Mouse,Wood mouse,1,4,2,winter,2014,01:51:00,08:10,17:10,-6.32
Middletown,Rabbit,Rabbit,1,15,3,spring,2015,00:23:00,06:42,18:29,-6.32
Lisnaskea Forest,Sika,Sika,2,23,11,autumn,2015,01:52:00,08:11,16:13,-6.32
Carrowdore,Fox,Fox,1,4,2,winter,2014,23:29:00,08:10,17:10,-6.3
Clonelly,Marten,Pine Marten,1,13,2,winter,2014,01:35:00,07:52,17:29,-6.28
Mount Stewart,Badger,Badger,1,4,3,spring,2014,00:53:00,07:09,18:08,-6.27
Lisnaskea Forest,Marten,Pine Marten,1,20,11,autumn,2015,01:51:00,08:06,16:17,-6.25
Gole Wood,Marten,Pine Marten,1,11,3,spring,2014,00:36:00,06:51,18:22,-6.25
Lisnaskea Forest,Sika,Sika,1,20,11,autumn,2015,22:33:00,08:06,16:17,-6.25
Cypress Wood,Fox,Fox,1,9,2,winter,2013,23:35:00,08:00,17:21,-6.22
Middletown,Rabbit,Rabbit,1,16,3,spring,2015,00:27:00,06:40,18:31,-6.22
Lisnaskea Forest,Marten,Pine Marten,1,20,11,autumn,2015,01:54:00,08:06,16:17,-6.2
Curragh,Mouse,Wood mouse,2,21,2,winter,2014,01:23:00,07:35,17:46,-6.2
Lisnaskea Forest,Sika,Sika,1,23,11,autumn,2015,02:00:00,08:11,16:13,-6.18
Mount Stewart,Badger,Badger,1,7,3,spring,2014,00:51:00,07:01,18:14,-6.02
Michael's Farm,Fox,Fox,1,26,9,autumn,2013,00:10:00,06:19,18:14,-6.15
Lisnaskea Forest,Sika,Sika,1,20,11,autumn,2015,22:27:00,08:06,16:17,-6.15
Curragh,Mouse,Wood mouse,1,21,2,winter,2014,01:28:00,07:35,17:46,-6.12
Ballyboley,Fox,Fox,1,18,1,winter,2014,02:32:00,08:37,16:37,-6.08
Belmore,Marten,Pine Marten,1,4,2,winter,2014,23:16:00,08:10,17:10,-6.08
Lisnaskea Forest,Fox,Fox,1,5,10,autumn,2015,00:31:00,06:35,17:53,-6.07
Lisnaskea Forest,Fox,Fox,1,5,10,autumn,2015,00:31:00,06:35,17:53,-6.07
Michael's Farm,Rabbit,Rabbit,1,29,9,autumn,2013,00:21:00,06:25,18:07,-6.07
Middletown,Hare,Hare,1,14,3,spring,2015,00:41:36,06:45,18:27,-6.05
Bowtown Road,Badger,Badger,1,1,2,winter,2014,02:14:00,08:16,17:04,-6.03
Belmore,Marten,Pine Marten,1,9,2,winter,2014,01:59:00,08:01,17:21,-6.03
Erik & Cecil's,Fallow,Fallow Deer,1,5,11,autumn,2013,01:36:00,07:37,16:42,-6.02
Cypress Wood,Fox,Fox,1,23,1,winter,2013,02:29:00,08:30,16:47,-6.02
Bowtown Road,Badger,Badger,1,26,1,winter,2014,22:53:00,08:26,16:52,-6
Middletown,Rabbit,Rabbit,1,14,3,spring,2015,00:45:00,06:45,18:27,-6
Middletown,Fox,Fox,1,14,3,spring,2015,00:46:00,06:45,18:27,-5.98
Lisnaskea Forest,Marten,Pine Marten,1,19,9,autumn,2015,00:06:00,06:05,18:34,-5.98
Lisnaskea Forest,Marten,Pine Marten,1,8,10,autumn,2015,00:43:00,06:41,17:46,-5.97
Mount Stewart,Badger,Badger,1,10,3,spring,2014,00:57:00,06:54,18:20,-5.95
Middletown,Rabbit,Rabbit,1,14,3,spring,2015,00:48:00,06:45,18:27,-5.95
Lisnaskea Forest,Marten,Pine Marten,1,22,11,autumn,2015,22:11:00,08:09,16:14,-5.93
Lisnaskea Forest,Marten,Pine Marten,1,20,11,autumn,2015,22:14:00,08:06,16:17,-5.93
Erik & Cecil's,Rabbit,Rabbit,1,30,11,autumn,2013,02:28:00,08:24,16:05,-5.93
Ballygrangee Manor,Badger,Badger,1,7,10,autumn,2013,23:43:00,06:40,17:47,-5.92
Killycolpy,Hare,Hare,1,3,11,autumn,2013,22:59:00,08:17,17:03,-5.92
Belmore,Marten,Pine Marten,1,6,2,winter,2014,23:11:00,08:07,17:15,-5.92
Curragh,Mouse,Wood mouse,1,15,2,winter,2014,01:53:00,07:48,17:33,-5.92
Cypress Wood,Fox,Fox,1,27,1,winter,2013,22:49:00,08:24,16:54,-5.9
Middletown,Rabbit,Rabbit,1,17,3,spring,2015,00:43:00,06:37,18:33,-5.9
Bowtown Road,Badger,Badger,1,4,2,winter,2014,02:17:00,08:10,17:10,-5.88
Carrickyheenan,Marten,Pine Marten,1,19,2,winter,2014,23:36:00,07:39,17:42,-5.88
Lisnaskea Forest,Marten,Pine Marten,1,20,11,autumn,2015,02:14:00,08:06,16:17,-5.87
Lisnaskea Forest,Marten,Pine Marten,1,22,11,autumn,2015,22:07:00,08:09,16:14,-5.87
Belmore,Marten,Pine Marten,1,4,2,winter,2014,23:03:00,08:10,17:10,-5.87
Middletown,Rabbit,Rabbit,1,14,3,spring,2015,00:54:00,06:45,18:27,-5.85
Killcooley Wood,Fox,Fox,1,15,1,winter,2014,02:50:00,08:40,16:31,-5.08
Curragh,Mouse,Wood mouse,1,15,2,winter,2014,01:59:00,07:48,17:33,-5.82
Michael's Farm,Rabbit,Rabbit,1,2,10,autumn,2013,00:41:00,06:30,17:59,-5.82
Mount Stewart,Badger,Badger,1,10,3,spring,2014,01:06:00,06:54,18:20,-5.8
Clonelly,Marten,Pine Marten,1,13,2,winter,2014,02:04:00,07:52,17:29,-5.8
Glencunny,Marten,Pine Marten,1,14,2,winter,2014,23:19:00,07:50,17:31,-5.78
Ballygrangee Manor,Badger,Badger,1,9,10,autumn,2013,00:58:00,06:44,17:42,-5.77
Michael's Farm,Rabbit,Rabbit,1,25,9,autumn,2013,00:31:00,06:17,18:17,-5.77
Middletown,Rabbit,Rabbit,1,18,3,spring,2015,00:48:00,06:34,18:35,-5.77
Magho,Marten,Pine Marten,1,20,2,winter,2014,23:30:00,07:37,17:44,-5.75
Erik & Cecil's,Mouse,Wood mouse,1,21,11,autumn,2013,22:01:00,08:08,16:15,-5.75
Ballygrangee Manor,Badger,Badger,1,12,10,autumn,2013,01:05:00,06:49,17:35,-5.73
Castle Coole,Marten,Pine Marten,1,7,1,winter,2014,22:03:00,08:47,16:18,-5.73
Middletown,Rabbit,Rabbit,1,18,3,spring,2015,00:50:00,06:34,18:35,-5.73
Mount Stewart,Fox,Fox,1,6,3,spring,2014,23:56:00,07:04,18:12,-5.72
Middletown,Rabbit,Rabbit,1,14,3,spring,2015,01:02:00,06:45,18:27,-5.72
Middletown,Rabbit,Rabbit,1,14,3,spring,2015,01:03:00,06:45,18:27,-5.7
Bowtown Road,Rabbit,Rabbit,1,29,1,winter,2014,02:39:00,08:21,16:58,-5.7
Bowtown Road,Badger,Badger,1,30,1,winter,2014,22:42:00,08:19,17:00,-5.68
Ballygrangee Manor,Badger,Badger,1,6,10,autumn,2013,23:30:00,06:38,17:49,-5.07
Bowtown Road,Fox,Fox,1,31,1,winter,2014,22:42:00,08:18,17:02,-5.65
Mount Stewart,Badger,Badger,1,2,3,spring,2014,23:43:00,07:13,18:04,-5.63
Michael's Farm,Fox,Fox,1,28,9,autumn,2013,00:45:00,06:23,18:09,-5.63
Mount Stewart,Rabbit,Rabbit,1,4,3,spring,2014,23:47:00,07:09,18:08,-5.63
Lisnaskea Forest,Fox,Fox,1,7,10,autumn,2015,01:02:00,06:39,17:48,-5.62
Castle Coole,Marten,Pine Marten,1,6,1,winter,2014,21:55:00,08:47,16:17,-5.62
Lisnaskea Forest,Mouse,Mouse,1,10,9,autumn,2015,00:12:00,05:49,18:56,-5.62
Middletown,Mouse,Wood mouse,1,18,3,spring,2015,00:57:00,06:34,18:35,-5.62
Mount Stewart,Mouse,Wood mouse,1,8,3,spring,2014,23:54:00,06:59,18:16,-5.62
Cypress Wood,Fox,Fox,1,30,1,winter,2013,02:44:00,08:19,17:01,-5.58
Cypress Wood,Fox,Fox,1,22,1,winter,2013,22:21:00,08:31,16:45,-5.58
Michael's Farm,Rabbit,Rabbit,1,24,9,autumn,2013,00:40:00,06:15,18:20,-5.58
Bowtown Road,Badger,Badger,1,29,1,winter,2014,22:33:00,08:21,16:58,-5.57
Maghera,Hare,Hare,1,1,11,autumn,2013,22:00:00,08:44,16:25,-5.57
Cookstown,Hare,Hare,1,5,11,autumn,2013,22:17:00,07:37,16:42,-5.57
Carrowdore,Fox,Fox,1,10,2,winter,2014,22:57:00,07:59,17:23,-5.55
